label,predict
"Der Inhalt dieser Zeichnung bleibt unser geistiges Eigentum. Jede Verwendung, insbesondere die Weitergabe, Vervielfältigung, Veröffentlichung und Zurverfügungstellung bedarf unserer ausdrücklichen Zustimmung.","Der Inhalt dieser Zeichnung bleibt unser geistiges Eigentum. Jede Verwendung, insbesondere die Weitergabe, Vervielfaltigung, Verdffentlichung und Zurverfitigungstellung bedarf unserer ausdrucklichen Zustimmung Der Inhalt dieser Zeichnung bleibt unser geistiges Eigentum. Jede Verwendung, insbesondere die Weitergabe, Vervielfaltigung, Verdffentlichung und Zurverfitigungstellung bedarf unserer ausdrucklichen Zustimmung"
ACHSMAẞ = MAX. 400,ACHSMAB = MAX. 400
UK TRAGPROFIL,UK TRAGPROFIL
25,25
ALPAHTON - ZIEGELPLATTE,ALPHATON - ZIEGELPLATTE
O-HALTER,O-HALTER
ALU-FENSTERBANK,ALU - FENSTERBANK
PROFIL,PROFIL
TRAG-,TRAG-
X,TRAG-
WÄRMEDÄMMUNG,BOHRSCHR
BOHRSCHR.,BOHRSCHR
5°,5°
WÄRMEDÄMMUNG,WARMEDAMMUNG
TRENNELEMENT,TRENNELEMENT
NACH STATIK,NACH STATIK
2.7.3b M 1:1 (V),2.7.3a M1:1 (V)
Alu-Unterkonstruktion,Alu-Unterkonstruktion
Fensterbank,Fensterbank
Alu-Unterkonstruktion,Alu-Unterkonstruktion
Fensterbank,Fensterbank
ALPHTON - Ziegelfassade,ALPHATON - Ziegelfassade
aus Metall,aus Metall
2.7.3a M1:1 (V),2.7.3a M1:1 (V)
Querformat- Ausführung,Querformat- Ausfuhrung
ALPHATON-Ziegelfassade,ALPHATON - Ziegelfassade
Querformat- Ausführung,Querformat- Ausfuhrung
aus Ziegelplatten,aus Metall
17.05.2012,17.05.2012 17.05.2012
,AL-DH-35
AL-DH-35,AL-DH-35
